PassengerId,Survived,Pclass,Age,Fam_size,Alone,Farexpers,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Nobile,Title_Ufficiale,Deck_1,Deck_2,Deck_3,Deck_4,Deck_5,Deck_6,Deck_7,Deck_8
892,0,3,34.5,1,1,7.8292,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
893,0,3,47.0,2,0,3.5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
894,0,2,62.0,1,1,9.6875,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
895,0,3,27.0,1,1,8.6625,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
896,0,3,22.0,3,0,4.095833333333333,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
897,0,3,14.0,1,1,9.225,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
898,1,3,30.0,1,1,7.6292,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
899,0,2,26.0,3,0,9.666666666666666,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
900,1,3,18.0,1,1,7.2292,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
901,0,3,21.0,3,0,8.049999999999999,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
902,0,3,28.295801526717558,1,1,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
903,0,1,46.0,1,1,26.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
904,1,1,23.0,2,0,41.13335,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
905,0,2,63.0,2,0,13.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
906,1,1,47.0,2,0,30.5875,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
907,1,2,24.0,2,0,13.8604,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
908,0,2,35.0,1,1,12.35,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
909,0,3,21.0,1,1,7.225,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
910,0,3,27.0,2,0,3.9625,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
911,1,3,45.0,1,1,7.225,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
912,0,1,55.0,2,0,29.7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
913,1,3,9.0,2,0,1.5854,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
914,1,1,42.666666666666664,1,1,31.6833,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
915,0,1,21.0,2,0,30.6896,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
916,1,1,48.0,5,0,52.475,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
917,0,3,50.0,2,0,7.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
918,1,1,22.0,2,0,30.9896,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
919,0,3,22.5,1,1,7.225,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
920,0,1,41.0,1,1,30.5,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
921,0,3,26.220588235294116,3,0,7.226400000000001,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
922,0,2,50.0,2,0,13.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
923,0,2,24.0,3,0,10.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
924,0,3,33.0,4,0,5.14375,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
925,0,3,33.26315789473684,4,0,5.8625,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
926,0,1,30.0,2,0,28.875,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
927,0,3,18.5,1,1,7.2292,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
928,0,3,17.284084507042255,1,1,8.05,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
929,0,3,21.0,1,1,8.6625,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
930,0,3,25.0,1,1,9.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
931,0,3,28.295801526717558,1,1,56.4958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
932,0,3,39.0,2,0,6.70835,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
933,0,1,42.13636363636363,1,1,26.55,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
934,0,3,41.0,1,1,7.85,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
935,1,2,30.0,1,1,13.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
936,1,1,45.0,2,0,26.2771,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
937,0,3,25.0,1,1,7.925,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
938,0,1,45.0,1,1,29.7,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
939,0,3,33.15625,1,1,7.75,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
940,1,1,60.0,1,1,76.2917,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
941,0,3,36.0,3,0,5.3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
942,0,1,24.0,2,0,30.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
943,0,2,27.0,1,1,15.0333,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
944,1,2,20.0,4,0,5.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
945,1,1,28.0,6,0,43.833333333333336,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
946,0,2,29.458333333333332,1,1,15.5792,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
947,0,3,10.0,6,0,4.854166666666667,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
948,0,3,35.0,1,1,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
949,0,3,25.0,1,1,7.65,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
950,0,3,28.295801526717558,2,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
951,1,1,36.0,1,1,262.375,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
952,0,3,17.0,1,1,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
953,0,2,32.0,1,1,13.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
954,0,3,18.0,1,1,7.75,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
955,1,3,22.0,1,1,7.725,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
956,1,1,13.0,5,0,52.475,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
957,1,2,34.895833333333336,1,1,21.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
958,1,3,18.0,1,1,7.8792,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
959,0,1,47.0,1,1,42.4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
961,1,1,60.0,6,0,43.833333333333336,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
962,1,3,24.0,1,1,7.75,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
963,0,3,21.0,1,1,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
964,0,3,29.0,1,1,7.925,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
966,1,1,35.0,1,1,211.5,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
968,0,3,28.295801526717558,1,1,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
969,1,1,55.0,3,0,8.566666666666666,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
970,0,2,30.0,1,1,13.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
971,1,3,24.0,1,1,7.75,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
972,1,3,6.0,3,0,5.081933333333333,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
973,0,1,67.0,2,0,110.8896,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
974,0,1,49.0,1,1,26.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
975,0,3,28.295801526717558,1,1,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
976,0,2,52.666666666666664,1,1,10.7083,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
977,0,3,26.220588235294116,2,0,7.2271,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
978,1,3,27.0,1,1,7.8792,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
979,0,3,18.0,1,1,8.05,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
980,1,3,23.157894736842106,1,1,7.75,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
981,1,2,2.0,3,0,7.666666666666667,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
982,0,3,22.0,2,0,6.95,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
983,0,3,28.295801526717558,1,1,7.775,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
984,1,1,27.0,4,0,13.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
985,0,3,28.295801526717558,1,1,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
986,0,1,25.0,1,1,26.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
987,0,3,25.0,1,1,7.7958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
988,1,1,76.0,2,0,39.425,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
989,0,3,29.0,1,1,7.925,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
990,0,3,20.0,1,1,7.8542,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
991,0,3,33.0,1,1,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
992,1,1,43.0,2,0,27.72085,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
993,0,2,27.0,2,0,13.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
994,0,3,33.15625,1,1,7.75,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
995,0,3,26.0,1,1,7.775,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
996,1,3,16.0,3,0,2.8389,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
997,0,3,28.0,1,1,22.525,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
998,0,3,21.0,1,1,7.8208,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
999,0,3,33.15625,1,1,7.75,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1000,0,3,28.295801526717558,1,1,8.7125,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1001,0,2,18.5,1,1,13.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1002,0,2,41.0,1,1,15.0458,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1003,1,3,23.157894736842106,1,1,7.7792,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1004,1,1,36.0,1,1,31.6792,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1005,1,3,18.5,1,1,7.2833,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1006,1,1,63.0,2,0,110.8896,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1007,0,3,18.0,2,0,7.2271,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1008,0,3,26.220588235294116,1,1,6.4375,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1009,1,3,1.0,3,0,5.566666666666666,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1011,1,2,29.0,2,0,13.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1012,1,2,12.0,1,1,15.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1013,0,3,33.15625,2,0,3.875,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1014,1,1,35.0,2,0,28.875,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1015,0,3,28.0,1,1,7.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1016,0,3,33.15625,1,1,7.75,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1017,0,3,17.0,2,0,8.05,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1018,0,3,22.0,1,1,7.7958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1019,1,3,23.157894736842106,3,0,7.75,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1020,0,2,42.0,1,1,13.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1021,0,3,24.0,1,1,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1022,0,3,32.0,1,1,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1024,0,3,33.26315789473684,5,0,5.0933399999999995,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1025,0,3,26.220588235294116,2,0,3.21875,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1026,0,3,43.0,1,1,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1027,0,3,24.0,1,1,7.8542,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1028,0,3,26.5,1,1,7.225,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1029,0,2,26.0,1,1,13.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1030,0,3,23.0,1,1,8.05,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1031,0,3,40.0,8,0,5.8625,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1032,0,3,10.0,8,0,5.8625,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1033,1,1,33.0,1,1,151.55,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1034,0,1,61.0,5,0,52.475,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1035,0,2,28.0,1,1,26.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1036,0,1,42.0,1,1,26.55,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1037,0,3,31.0,4,0,4.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1038,0,1,42.13636363636363,1,1,51.8625,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1039,0,3,22.0,1,1,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1040,0,1,42.13636363636363,1,1,26.55,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1041,0,2,30.0,3,0,8.666666666666666,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1042,1,1,23.0,2,0,41.57915,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1043,0,3,26.220588235294116,1,1,7.8958,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1044,0,3,60.5,1,1,11.73955975975976,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1045,0,3,36.0,3,0,4.0611,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1046,0,3,13.0,7,0,4.483928571428572,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1047,0,3,24.0,1,1,7.55,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1048,1,1,29.0,1,1,221.7792,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1049,0,3,23.0,1,1,7.8542,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1050,0,1,42.0,1,1,26.55,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1051,0,3,26.0,3,0,4.591666666666667,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1052,1,3,23.157894736842106,1,1,7.7333,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1053,1,3,7.0,3,0,5.081933333333333,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1054,1,2,26.0,1,1,13.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1055,0,3,28.295801526717558,1,1,7.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1056,0,2,41.0,1,1,13.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1057,0,3,26.0,3,0,7.341666666666666,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1058,0,1,48.0,1,1,50.4958,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1059,0,3,18.0,5,0,6.875,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1060,1,1,42.78787878787879,1,1,27.7208,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1061,0,3,22.0,1,1,8.9625,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1062,0,3,28.295801526717558,1,1,7.55,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1063,0,3,27.0,1,1,7.225,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1064,0,3,23.0,2,0,6.95,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1065,0,3,26.220588235294116,1,1,7.2292,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1066,0,3,40.0,7,0,4.483928571428572,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1067,1,2,15.0,3,0,13.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1068,1,2,20.0,1,1,36.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1069,0,1,54.0,2,0,27.72085,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1070,1,2,36.0,4,0,9.75,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1071,1,1,64.0,3,0,27.71943333333333,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1072,0,2,30.0,1,1,13.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1073,1,1,37.0,3,0,27.71943333333333,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1074,1,1,18.0,2,0,26.55,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1075,0,3,33.15625,1,1,7.75,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1076,1,1,27.0,3,0,82.50693333333334,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1077,0,2,40.0,1,1,16.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
